image_idx,trialidx,fixations_count,found,sloc_fixation_index,size,search,singleton
415,415,2,TRUE,-1,0,1,0
416,416,1,TRUE,-1,0,1,0
417,417,2,TRUE,-1,0,1,0
418,418,1,TRUE,-1,0,1,0
419,419,2,TRUE,-1,0,1,0
420,420,2,TRUE,-1,0,1,0
421,421,2,TRUE,-1,0,1,0
422,422,2,TRUE,-1,0,1,0
423,423,3,TRUE,-1,0,1,0
424,424,2,TRUE,-1,0,1,0
425,425,1,TRUE,-1,0,1,0
426,426,2,TRUE,-1,0,1,0
427,427,2,TRUE,-1,0,1,0
428,428,3,TRUE,-1,0,1,0
429,429,1,TRUE,-1,0,1,0
430,430,2,TRUE,-1,0,1,0
431,431,2,TRUE,-1,0,1,0
432,432,2,TRUE,-1,0,1,0
433,433,2,TRUE,-1,0,1,0
434,434,4,TRUE,-1,0,1,0
435,435,2,TRUE,-1,0,1,0
436,436,2,TRUE,-1,0,1,0
437,437,1,TRUE,-1,0,1,0
438,438,1,TRUE,-1,0,1,0
439,439,2,TRUE,-1,0,1,0
440,440,2,TRUE,-1,0,1,0
441,441,3,TRUE,-1,0,1,0
442,442,2,TRUE,-1,0,1,0
443,443,3,TRUE,-1,0,1,0
444,444,2,TRUE,-1,0,1,0
445,445,4,TRUE,-1,0,1,0
446,446,2,TRUE,-1,0,1,0
447,447,3,TRUE,-1,0,1,0
448,448,2,TRUE,-1,0,1,0
449,449,1,TRUE,-1,0,1,0
450,450,2,TRUE,-1,0,1,0
451,451,1,TRUE,-1,0,1,0
452,452,2,TRUE,-1,0,1,0
453,453,2,TRUE,-1,0,1,0
454,454,2,TRUE,-1,0,1,0
455,455,2,TRUE,-1,0,1,0
456,456,2,TRUE,-1,0,1,0
457,457,3,TRUE,-1,0,1,0
458,458,1,TRUE,-1,0,1,0
459,459,3,TRUE,-1,0,1,0
460,460,1,TRUE,-1,0,1,0
461,461,2,TRUE,-1,0,1,0
462,462,1,TRUE,-1,0,1,0
463,463,1,TRUE,-1,0,1,0
464,464,2,TRUE,-1,0,1,0
465,465,3,TRUE,-1,0,1,0
466,466,3,TRUE,-1,0,1,0
467,467,3,TRUE,-1,0,1,0
468,468,1,TRUE,-1,0,1,0
469,469,2,TRUE,-1,0,1,0
470,470,1,TRUE,-1,0,1,0
471,471,2,TRUE,-1,0,1,0
472,472,1,TRUE,-1,0,1,0
473,473,2,TRUE,-1,0,1,0
474,474,3,TRUE,-1,0,1,0
475,475,1,TRUE,-1,0,1,0
476,476,1,TRUE,-1,0,1,0
477,477,2,TRUE,-1,0,1,0
478,478,1,TRUE,-1,0,1,0
479,479,3,TRUE,-1,0,1,0
480,480,2,TRUE,-1,0,1,0
481,481,1,TRUE,-1,0,1,0
482,482,2,TRUE,-1,0,1,0
483,483,2,TRUE,-1,0,1,0
484,484,2,TRUE,-1,0,1,0
485,485,3,TRUE,-1,0,1,0
486,486,3,TRUE,-1,0,1,0
487,487,3,TRUE,-1,0,1,0
488,488,2,TRUE,-1,0,1,0
489,489,2,TRUE,-1,0,1,0
490,490,3,TRUE,-1,0,1,0
491,491,1,TRUE,-1,0,1,0
492,492,2,TRUE,-1,0,1,0
493,493,3,TRUE,-1,0,1,0
494,494,3,TRUE,-1,0,1,0
495,495,2,TRUE,-1,0,1,0
496,496,2,TRUE,-1,0,1,0
497,497,1,TRUE,-1,0,1,0
498,498,2,TRUE,-1,0,1,0
499,499,2,TRUE,-1,0,1,0
500,500,2,TRUE,-1,0,1,0
501,501,2,TRUE,-1,0,1,0
502,502,2,TRUE,-1,0,1,0
503,503,2,TRUE,-1,0,1,0
504,504,1,TRUE,-1,0,1,0
505,505,2,TRUE,-1,0,1,0
506,506,3,TRUE,-1,0,1,0
507,507,3,TRUE,-1,0,1,0
508,508,3,TRUE,-1,0,1,0
509,509,2,TRUE,-1,0,1,0
510,510,2,TRUE,-1,0,1,0
511,511,4,TRUE,-1,0,1,0
512,512,2,TRUE,-1,0,1,0
513,513,2,TRUE,-1,0,1,0
514,514,1,TRUE,-1,0,1,0
515,515,3,TRUE,-1,0,1,0
516,516,2,TRUE,-1,0,1,0
517,517,2,TRUE,-1,0,1,0
518,518,1,TRUE,-1,0,1,0
519,519,2,TRUE,-1,0,1,0
520,520,3,TRUE,-1,0,1,0
521,521,2,TRUE,-1,0,1,0
522,522,2,TRUE,-1,0,1,0
523,523,2,TRUE,-1,0,1,0
524,524,2,TRUE,-1,0,1,0
525,525,2,TRUE,-1,0,1,0
526,526,1,TRUE,-1,0,1,0
527,527,3,TRUE,-1,0,1,0
528,528,2,TRUE,-1,0,1,0
529,529,2,TRUE,-1,0,1,0
530,530,2,TRUE,-1,0,1,0
531,531,2,TRUE,-1,0,1,0
532,532,2,TRUE,-1,0,1,0
533,533,2,TRUE,-1,0,1,0
534,534,2,TRUE,-1,0,1,0
535,535,2,TRUE,-1,0,1,0
536,536,2,TRUE,-1,0,1,0
537,537,2,TRUE,-1,0,1,0
538,538,2,TRUE,-1,0,1,0
539,539,2,TRUE,-1,0,1,0
540,540,1,TRUE,-1,0,1,0
541,541,3,TRUE,-1,0,1,0
542,542,1,TRUE,-1,0,1,0
543,543,3,TRUE,-1,0,1,0
544,544,1,TRUE,-1,0,1,0
545,545,3,TRUE,-1,0,1,0
546,546,2,TRUE,-1,0,1,0
547,547,2,TRUE,-1,0,1,0
548,548,3,TRUE,-1,0,1,0
549,549,3,TRUE,-1,0,1,0
550,550,2,TRUE,-1,0,1,0
551,551,1,TRUE,-1,0,1,0
552,552,2,TRUE,-1,0,1,0
553,553,3,TRUE,-1,0,1,0
554,554,2,TRUE,-1,0,1,0
555,555,2,TRUE,-1,0,1,0
556,556,2,TRUE,-1,0,1,0
557,557,2,TRUE,-1,0,1,0
558,558,1,TRUE,-1,0,1,0
559,559,2,TRUE,-1,0,1,0
560,560,2,TRUE,-1,0,1,0
561,561,3,TRUE,-1,0,1,0
562,562,2,TRUE,-1,0,1,0
563,563,1,TRUE,-1,0,1,0
564,564,2,TRUE,-1,0,1,0
565,565,3,TRUE,-1,0,1,0
566,566,3,TRUE,-1,0,1,0
567,567,2,TRUE,-1,0,1,0
568,568,1,TRUE,-1,0,1,0
569,569,4,TRUE,-1,0,1,0
570,570,2,TRUE,-1,0,1,0
571,571,1,TRUE,-1,0,1,0
572,572,2,TRUE,-1,0,1,0
573,573,2,TRUE,-1,0,1,0
574,574,2,TRUE,-1,0,1,0
575,575,3,TRUE,-1,0,1,0
576,576,2,TRUE,-1,0,1,0
577,577,1,TRUE,-1,0,1,0
578,578,1,TRUE,-1,0,1,0
579,579,1,TRUE,-1,0,1,0
580,580,1,TRUE,-1,0,1,0
581,581,2,TRUE,-1,0,1,0
582,582,2,TRUE,-1,0,1,0
583,583,2,TRUE,-1,0,1,0
584,584,2,TRUE,-1,0,1,0
585,585,2,TRUE,-1,0,1,0
586,586,3,TRUE,-1,0,1,0
587,587,3,TRUE,-1,0,1,0
588,588,1,TRUE,-1,0,1,0
589,589,2,TRUE,-1,0,1,0
590,590,1,TRUE,-1,0,1,0
591,591,2,TRUE,-1,0,1,0
592,592,4,TRUE,-1,0,1,0
593,593,1,TRUE,-1,0,1,0
594,594,1,TRUE,-1,0,1,0
595,595,1,TRUE,-1,0,1,0
596,596,1,TRUE,-1,0,1,0
597,597,2,TRUE,-1,0,1,0
598,598,2,TRUE,-1,0,1,0
599,599,2,TRUE,-1,0,1,0
600,600,2,TRUE,-1,0,1,0
601,601,3,TRUE,-1,0,1,0
602,602,3,TRUE,-1,0,1,0
603,603,2,TRUE,-1,0,1,0
604,604,1,TRUE,-1,0,1,0
605,605,2,TRUE,-1,0,1,0
606,606,2,TRUE,-1,0,1,0
607,607,1,TRUE,-1,0,1,0
608,608,2,TRUE,-1,0,1,0
609,609,3,TRUE,-1,0,1,0
610,610,2,TRUE,-1,0,1,0
611,611,2,TRUE,-1,0,1,0
612,612,4,TRUE,-1,0,1,0
613,613,2,TRUE,-1,0,1,0
614,614,3,TRUE,-1,0,1,0
615,615,2,TRUE,-1,0,1,0
616,616,3,TRUE,-1,0,1,0
617,617,3,TRUE,-1,0,1,0
618,618,2,TRUE,-1,0,1,0
619,619,1,TRUE,-1,0,1,0
620,620,2,TRUE,-1,0,1,0
621,621,2,TRUE,-1,0,1,0
622,622,1,TRUE,-1,0,1,0
623,623,1,TRUE,-1,0,1,0
624,624,2,TRUE,-1,0,1,0
625,625,3,TRUE,-1,0,1,0
626,626,2,TRUE,-1,0,1,0
627,627,1,TRUE,-1,0,1,0
628,628,1,TRUE,-1,0,1,0
629,629,2,TRUE,-1,0,1,0
630,630,2,TRUE,-1,0,1,0
631,631,3,TRUE,-1,0,1,0
632,632,2,TRUE,-1,0,1,0
633,633,2,TRUE,-1,0,1,0
634,634,3,TRUE,-1,0,1,0
635,635,1,TRUE,-1,0,1,0
636,636,2,TRUE,-1,0,1,0
637,637,2,TRUE,-1,0,1,0
638,638,3,TRUE,-1,0,1,0
639,639,1,TRUE,-1,0,1,0
640,640,3,TRUE,-1,0,1,0
641,641,3,TRUE,-1,0,1,0
642,642,1,TRUE,-1,0,1,0
643,643,4,TRUE,-1,0,1,0
644,644,2,TRUE,-1,0,1,0
645,645,1,TRUE,-1,0,1,0
646,646,2,TRUE,-1,0,1,0
647,647,3,TRUE,-1,0,1,0
648,648,3,TRUE,-1,0,1,0
649,649,2,TRUE,-1,0,1,0
650,650,2,TRUE,-1,0,1,0
651,651,3,TRUE,-1,0,1,0
652,652,1,TRUE,-1,0,1,0
653,653,3,TRUE,-1,0,1,0
654,654,2,TRUE,-1,0,1,0
655,655,2,TRUE,-1,0,1,0
656,656,2,TRUE,-1,0,1,0
657,657,2,TRUE,-1,0,1,0
658,658,3,TRUE,-1,0,1,0
659,659,2,TRUE,-1,0,1,0
660,660,3,TRUE,-1,0,1,0
661,661,3,TRUE,-1,0,1,0
662,662,3,TRUE,-1,0,1,0
663,663,2,TRUE,-1,0,1,0
664,664,2,TRUE,-1,0,1,0
665,665,2,TRUE,-1,0,1,0
666,666,1,TRUE,-1,0,1,0
667,667,3,TRUE,-1,0,1,0
668,668,2,TRUE,-1,0,1,0
669,669,2,TRUE,-1,0,1,0
670,670,3,TRUE,-1,0,1,0
671,671,2,TRUE,-1,0,1,0
672,672,2,TRUE,-1,0,1,0
673,673,3,TRUE,-1,0,1,0
674,674,2,TRUE,-1,0,1,0
675,675,1,TRUE,-1,0,1,0
676,676,3,TRUE,-1,0,1,0
677,677,3,TRUE,-1,0,1,0
678,678,3,TRUE,-1,0,1,0
679,679,2,TRUE,-1,0,1,0
680,680,2,TRUE,-1,0,1,0
681,681,2,TRUE,-1,0,1,0
682,682,3,TRUE,-1,0,1,0
683,683,3,TRUE,-1,0,1,0
684,684,2,TRUE,-1,0,1,0
685,685,1,TRUE,-1,0,1,0
686,686,2,TRUE,-1,0,1,0
687,687,2,TRUE,-1,0,1,0
688,688,3,TRUE,-1,0,1,0
689,689,2,TRUE,-1,0,1,0
690,690,2,TRUE,-1,0,1,0
