image_idx,trialidx,target_location,fixations_count,found,sloc_fixation_index
549,549,"(111, 194)",1,True,-1
550,550,"(180, 70)",1,True,-1
551,551,"(42, 153)",3,True,-1
552,552,"(42, 70)",2,True,-1
553,553,"(180, 70)",2,True,-1
554,554,"(180, 153)",1,True,-1
555,555,"(42, 153)",3,True,-1
556,556,"(111, 194)",1,True,-1
557,557,"(111, 28)",1,True,-1
558,558,"(111, 194)",1,True,-1
559,559,"(180, 153)",3,True,-1
560,560,"(42, 153)",2,True,-1
561,561,"(180, 70)",2,True,-1
562,562,"(42, 70)",2,True,-1
563,563,"(42, 153)",3,True,-1
564,564,"(180, 153)",1,True,-1
565,565,"(111, 28)",1,True,-1
566,566,"(180, 153)",1,True,-1
567,567,"(180, 153)",1,True,-1
568,568,"(180, 153)",1,True,-1
569,569,"(111, 194)",1,True,-1
570,570,"(111, 194)",1,True,-1
571,571,"(111, 28)",1,True,-1
572,572,"(180, 70)",2,True,-1
573,573,"(42, 70)",3,True,-1
574,574,"(180, 70)",3,True,-1
575,575,"(111, 28)",2,True,-1
576,576,"(111, 194)",2,True,-1
577,577,"(111, 194)",1,True,-1
578,578,"(42, 153)",1,True,-1
579,579,"(180, 153)",2,True,-1
580,580,"(42, 153)",2,True,-1
581,581,"(42, 153)",1,True,-1
582,582,"(42, 70)",2,True,-1
583,583,"(180, 70)",2,True,-1
584,584,"(111, 28)",1,True,-1
585,585,"(42, 153)",1,True,-1
586,586,"(42, 153)",2,True,-1
587,587,"(42, 153)",3,True,-1
588,588,"(180, 70)",3,True,-1
589,589,"(42, 70)",2,True,-1
590,590,"(42, 153)",1,True,-1
591,591,"(111, 194)",1,True,-1
592,592,"(180, 153)",2,True,-1
593,593,"(42, 70)",1,True,-1
594,594,"(111, 28)",1,True,-1
595,595,"(42, 153)",2,True,-1
596,596,"(180, 70)",3,True,-1
597,597,"(42, 70)",2,True,-1
598,598,"(111, 28)",1,True,-1
599,599,"(42, 153)",2,True,-1
600,600,"(180, 153)",1,True,-1
601,601,"(180, 70)",2,True,-1
602,602,"(111, 28)",1,True,-1
603,603,"(42, 70)",2,True,-1
604,604,"(180, 153)",1,True,-1
605,605,"(111, 194)",2,True,-1
606,606,"(111, 194)",2,True,-1
607,607,"(180, 153)",1,True,-1
608,608,"(180, 70)",3,True,-1
609,609,"(42, 70)",3,True,-1
610,610,"(42, 70)",3,True,-1
611,611,"(42, 153)",3,True,-1
612,612,"(42, 70)",2,True,-1
613,613,"(180, 70)",2,True,-1
614,614,"(180, 70)",2,True,-1
615,615,"(111, 28)",1,True,-1
616,616,"(42, 153)",3,True,-1
617,617,"(180, 153)",1,True,-1
618,618,"(42, 153)",1,True,-1
619,619,"(42, 70)",3,True,-1
620,620,"(180, 70)",2,True,-1
621,621,"(111, 194)",1,True,-1
622,622,"(180, 70)",2,True,-1
623,623,"(180, 70)",1,True,-1
624,624,"(180, 70)",3,True,-1
625,625,"(42, 153)",1,True,-1
626,626,"(180, 70)",2,True,-1
627,627,"(180, 153)",1,True,-1
628,628,"(180, 153)",1,True,-1
629,629,"(180, 70)",3,True,-1
630,630,"(180, 70)",1,True,-1
631,631,"(180, 153)",1,True,-1
632,632,"(180, 153)",2,True,-1
633,633,"(111, 28)",1,True,-1
634,634,"(42, 153)",3,True,-1
635,635,"(42, 70)",2,True,-1
636,636,"(111, 194)",2,True,-1
637,637,"(111, 194)",2,True,-1
638,638,"(42, 70)",3,True,-1
639,639,"(111, 28)",1,True,-1
640,640,"(111, 194)",1,True,-1
641,641,"(42, 153)",1,True,-1
642,642,"(42, 70)",3,True,-1
643,643,"(42, 70)",1,True,-1
644,644,"(42, 153)",3,True,-1
645,645,"(111, 194)",2,True,-1
646,646,"(42, 70)",3,True,-1
647,647,"(180, 153)",1,True,-1
648,648,"(180, 70)",2,True,-1
649,649,"(180, 70)",2,True,-1
650,650,"(42, 70)",2,True,-1
651,651,"(42, 70)",1,True,-1
652,652,"(180, 153)",2,True,-1
653,653,"(111, 194)",1,True,-1
654,654,"(180, 70)",2,True,-1
655,655,"(42, 153)",3,True,-1
656,656,"(111, 194)",1,True,-1
657,657,"(180, 70)",2,True,-1
658,658,"(111, 194)",2,True,-1
659,659,"(180, 153)",1,True,-1
660,660,"(180, 153)",2,True,-1
661,661,"(111, 194)",2,True,-1
662,662,"(180, 70)",2,True,-1
663,663,"(180, 153)",1,True,-1
664,664,"(180, 153)",1,True,-1
665,665,"(111, 194)",2,True,-1
666,666,"(111, 194)",1,True,-1
667,667,"(111, 194)",1,True,-1
668,668,"(180, 153)",3,True,-1
669,669,"(111, 28)",1,True,-1
670,670,"(180, 153)",3,True,-1
671,671,"(111, 194)",1,True,-1
672,672,"(42, 153)",1,True,-1
673,673,"(42, 153)",1,True,-1
674,674,"(111, 28)",2,True,-1
675,675,"(111, 194)",1,True,-1
676,676,"(180, 70)",2,True,-1
677,677,"(111, 28)",1,True,-1
678,678,"(111, 194)",1,True,-1
679,679,"(180, 153)",1,True,-1
680,680,"(180, 70)",2,True,-1
681,681,"(180, 153)",1,True,-1
682,682,"(111, 194)",1,True,-1
683,683,"(111, 194)",2,True,-1
684,684,"(180, 153)",1,True,-1
685,685,"(111, 28)",1,True,-1
686,686,"(180, 70)",2,True,-1
687,687,"(180, 153)",3,True,-1
688,688,"(180, 153)",2,True,-1
689,689,"(42, 70)",1,True,-1
690,690,"(111, 194)",1,True,-1
691,691,"(42, 70)",2,True,-1
692,692,"(42, 70)",1,True,-1
693,693,"(180, 70)",2,True,-1
694,694,"(180, 70)",2,True,-1
695,695,"(111, 28)",1,True,-1
696,696,"(180, 70)",2,True,-1
697,697,"(111, 28)",1,True,-1
698,698,"(180, 153)",3,True,-1
699,699,"(111, 28)",1,True,-1
700,700,"(42, 70)",3,True,-1
701,701,"(180, 153)",3,True,-1
702,702,"(42, 70)",2,True,-1
703,703,"(111, 28)",1,True,-1
704,704,"(42, 70)",2,True,-1
705,705,"(111, 194)",1,True,-1
706,706,"(42, 70)",3,True,-1
707,707,"(180, 70)",3,True,-1
708,708,"(111, 28)",1,True,-1
709,709,"(111, 28)",1,True,-1
710,710,"(180, 153)",3,True,-1
711,711,"(180, 70)",3,True,-1
712,712,"(180, 70)",3,True,-1
713,713,"(42, 70)",1,True,-1
714,714,"(111, 28)",1,True,-1
715,715,"(180, 153)",3,True,-1
716,716,"(180, 153)",2,True,-1
717,717,"(42, 70)",2,True,-1
718,718,"(180, 153)",1,True,-1
719,719,"(180, 153)",2,True,-1
720,720,"(111, 194)",1,True,-1
721,721,"(111, 194)",2,True,1
722,722,"(111, 28)",3,True,1
723,723,"(111, 28)",1,True,-2
724,724,"(111, 28)",2,True,1
725,725,"(180, 70)",3,True,2
726,726,"(42, 70)",4,True,1
727,727,"(42, 153)",1,True,-2
728,728,"(42, 153)",1,True,-2
